"Sample1","Sample2","BC","jaccard","JSD","Group"
"Control.A20","PsO.C03",0.647076714899373,0.785727475892227,5.81337989465511,"Relatives-Psoriasis"
"Control.A20","PsO.C04",0.674016861809883,0.805268904019475,5.8853926463709,"Relatives-Psoriasis"
"Control.A20","PsO.C05",0.774882984498111,0.873165150903993,6.63081025323053,"Relatives-Psoriasis"
"Control.A20","PsO.C06",0.620507890365651,0.765819030014892,5.54061373440846,"Relatives-Psoriasis"
"Control.A20","PsO.C07",0.7756258732167,0.873636597569494,6.46665027065859,"Relatives-Psoriasis"
"Control.A20","PsO.C08",0.70805979486891,0.829080805011574,5.92130904869706,"Relatives-Psoriasis"
"Control.A20","PsO.C09",0.825578560221055,0.904456897347751,6.77597738330718,"Relatives-Psoriasis"
"Control.A20","PsO.C10",0.699367524903393,0.823091549831931,6.18678493722566,"Relatives-Psoriasis"
"Control.A20","PsO.C11",0.883090074943933,0.937915914585473,7.41339202256935,"Relatives-Psoriasis"
"Control.A20","PsO.C12",0.688495420772588,0.815513518488028,6.27820462310851,"Relatives-Psoriasis"
"Control.A20","PsO.C14",0.772124441224966,0.871411085207133,6.39855166013594,"Relatives-Psoriasis"
"Control.A20","PsO.C15",0.8976991239579,0.946092151937796,7.40721225819635,"Relatives-Psoriasis"
"Control.A20","PsO.C16",0.618080152517391,0.763967287474343,5.73433653115749,"Relatives-Psoriasis"
"Control.A20","PsO.C17",0.813659096332264,0.897256929902334,6.99299138033465,"Relatives-Psoriasis"
"Control.A20","PsO.C18",0.821903604399113,0.902247080926312,7.03589926526917,"Relatives-Psoriasis"
"Control.A20","PsO.C19",0.932050700555264,0.964830478089831,7.64420807167507,"Relatives-Psoriasis"
"Control.A20","PsO.C20",0.677060585157596,0.807437240073198,6.04376695332446,"Relatives-Psoriasis"
"Control.A20","PsO.C21",0.733425730093195,0.846215349594198,6.31466747799345,"Relatives-Psoriasis"
"Control.A20","PsO.C22",0.824321123370051,0.903701780141963,6.99029625180942,"Relatives-Psoriasis"
"Control.A20","PsO.C23",0.70967620476244,0.830187848185031,6.43170282760273,"Relatives-Psoriasis"
"Control.A20","PsO.C24",0.737891244431002,0.849180001102535,6.42785285496773,"Relatives-Psoriasis"
"Control.A20","PsO.C25",0.822680233376806,0.902714824369011,7.06163908837308,"Relatives-Psoriasis"
"Control.A20","PsO.C26",0.880561807310101,0.93648802595819,7.40318053282827,"Relatives-Psoriasis"
"Control.A20","PsO.C27",0.779601366345573,0.87615280712724,6.53436761601477,"Relatives-Psoriasis"
