source,target,correlation,direct,cor
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides_congonensis,k__Bacteria;p__Firmicutes;c__CFGB1249;o__OFGB1249;f__FGB1249;g__GGB3032;s__GGB3032_SGB4027,0.873363693870086,undirected,+
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella_sp_AF08_23,k__Bacteria;p__Firmicutes;c__CFGB1249;o__OFGB1249;f__FGB1249;g__GGB3032;s__GGB3032_SGB4027,0.999999999999998,undirected,+
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter_coli,k__Bacteria;p__Firmicutes;c__CFGB1249;o__OFGB1249;f__FGB1249;g__GGB3032;s__GGB3032_SGB4027,0.999999999999998,undirected,+
k__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales;f__Eubacteriales_Family_XIII_Incertae_Sedis;g__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified;s__Eubacteriales_Family_XIII_Incertae_Sedis_unclassified_SGB71368,k__Bacteria;p__Firmicutes;c__CFGB1249;o__OFGB1249;f__FGB1249;g__GGB3032;s__GGB3032_SGB4027,0.999999999999998,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB1347;o__OFGB1347;f__FGB1347;g__GGB3289;s__GGB3289_SGB4343,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,0.999999999999998,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB2985;o__OFGB2985;f__FGB2985;g__GGB9350;s__GGB9350_SGB14317,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,0.999999999999998,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB2918;o__OFGB2918;f__FGB2918;g__GGB9240;s__GGB9240_SGB14182,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,0.999999999999998,undirected,+
k__Bacteria;p__Tenericutes;c__CFGB4862;o__OFGB4862;f__FGB4862;g__GGB4750;s__GGB4750_SGB6579,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,0.999999999999998,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB2840;o__OFGB2840;f__FGB2840;g__GGB9095;s__GGB9095_SGB14026,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,0.999999999999998,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB10325;o__OFGB10325;f__FGB10325;g__GGB4669;s__GGB4669_SGB6458,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,0.999999999999998,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB31455;o__OFGB31455;f__FGB31455;g__GGB4699;s__GGB4699_SGB6503,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,0.999999999999998,undirected,+
k__Bacteria;p__Firmicutes;c__CFGB10314;o__OFGB10314;f__FGB10314;g__GGB4703;s__GGB4703_SGB6510,k__Bacteria;p__Firmicutes;c__CFGB1201;o__OFGB1201;f__FGB1201;g__GGB2958;s__GGB2958_SGB3940,0.999999999999998,undirected,+
